,0
Common Name,Binomial Nomenclature
Aardvark,Orycteropus afer
Aardwolf,Proteles cristata
Abyssinian,Felis catus
Addax,Addax nasomaculatus
Adelie Penguin,Pygoscelis adeliae
Aesculapian snake,Zamenis longissimus
Affenpinscher,Canis lupus familiaris
Afghan Hound,Canis lupus familiaris
African Bullfrog,Pyxicephalus adspersus
African Bush Elephant,Loxodonta africana
African Civet,Civettictis civetta
African Clawed Frog,Xenopus laevis
African Forest Elephant,Loxodonta cyclotis
African Grey Parrot,Psittacus erithacus
African Palm Civet,Nandinia binotata
African Penguin,Spheniscus demersus
African Tree Toad,Nectophryne afra
African Wild Dog,Lycaon pictus
Agama Lizard,Agama
Aidi,Canis lupus familiaris
Airedale Terrier,Canis lupus familiaris
Akbash,Canis lupus familiaris
Akita,Canis lupus familiaris
Alabai,Canis lupus familiaris
Alaskan Husky,Canis lupus familiaris
Alaskan Klee Kai,Canis lupus familiaris
Alaskan Malamute,Canis lupus familiaris
Alaskan Shepherd,Canis lupus familiaris
Albacore Tuna,Thunnus alalunga
Albatross,Diomedeidae
Aldabra Giant Tortoise,Aldabrachelys gigantea
Alligator,Alligator mississippiensis
Alligator Gar,Atractosteus spatula
Alpaca,Vicugna pacos
Alpine Dachsbracke,Canis lupus familiaris
Alpine Goat,Capra aegagrus hircus
Amazon Parrot,Amazona
Amazon River Dolphin (Pink Dolphin),Inia geoffrensis
Ambrosia Beetle,Platypodinae
American Alsatian,Canis lupus familiaris
American Bulldog,Canis lupus familiaris
American Cocker Spaniel,Canis lupus familiaris
American Cockroach,Periplaneta americana
American Coonhound,Canis lupus familiaris
American Eskimo Dog,Canis lupus familiaris
American Foxhound,Canis lupus familiaris
American Hairless Terrier,Canis lupus familiaris
American Leopard Hound,Canis lupus familiaris
American Pit Bull Terrier,Canis lupus familiaris
American Pygmy Goat,Capra aegagrus hircus
American Robin,Turdus migratorius
American Staffordshire Terrier,Canis lupus familiaris
American Toad,Anaxyrus americanus
American Water Spaniel,Canis lupus familiaris
Amur Leopard,Panthera pardus orientalis
Anaconda,Eunectes murinus
Anatolian Shepherd Dog,Canis lupus familiaris
Anchovies,Engraulidae
Angelfish,Pterophyllum
Anglerfish,Lophiiformes
Angora Goat,Capra aegagrus hircus
Anole Lizard,Anolis carolinensis
Ant,Formicidae
Anteater,Vermilingua
Antelope,Bovidae
Ants,Formicidae
Ape,Hominoidea
Appenzeller Dog,Canis lupus familiaris
Apple,Pyrus malus
Arafura File Snake,Acrochordus arafurae
Arapaima,Arapaima
Arctic Fox,Vulpes lagopus
Arctic Hare,Lepus arcticus
Arctic Wolf,Canis lupus arctos
Arizona Bark Scorpion,Centruroides sculpturatus
Arizona Black Rattlesnake,Crotalus cerberus
Armadillo,Cingulata
Armadillo Lizard,Ouroborus cataphractus
Armyworm,Spodoptera frugiperda
Aruba Rattlesnake,Crotalus durissus unicolor
Asian Cockroach,Blattella asahinai
Asian Elephant,Elephas maximus
Asian Giant Hornet,Vespa mandarinia
Asian Palm Civet,Paradoxurus hermaphroditus
Asiatic Black Bear,Ursus thibetanus
Asp,Vipera aspis
Assassin Bug,Reduviidae
Aurochs,Bos primigenius
Aussiedoodle,Canis lupus familiaris
Australian Bulldog,Canis lupus familiaris
Australian Cattle Dog,Canis lupus familiaris
Australian Cockroach,Periplaneta australasiae
Australian Kelpie Dog,Canis lupus familiaris
Australian Labradoodle,Canis lupus familiaris
Australian Mist,Felis catus
Australian Shepherd,Canis lupus familiaris
Australian Terrier,Canis lupus familiaris
Avocet,Recurvirostra
Axolotl,Ambystoma mexicanum
Aye Aye,Daubentonia madagascariensis
Babirusa,Babyrousa
Baboon,Papio
Bactrian Camel,Camelus bactrianus
Baiji,Lipotes vexillifer
Bald Eagle,Haliaeetus leucocephalus
Baleen Whale,Mysticeti
Balinese,Felis catus
Balkan Lynx,Lynx lynx balcanicus
Ball Python,Python regius
Bamboo,Bamboosa aridinarifolia
Banana,Musa paradisicum
Banana Ball Python,Python regius
Banana Spider,Nephila
Banded Palm Civet,Hemigalus derbyanus
Banded Water Snake,Nerodia fasciata
Banjo Catfish,Aspredinidae
Banyan,Ficus benghalensis
Barb,Barbus
Barbet,Megalaimidae
Barley,Hordeum vulgare
Barn Owl,Tyto alba
Barn Swallow,Hirundo rustica
Barnacle,Cirripedia
Barracuda,Sphyraena
Barramundi Fish,Lates calcarifer
Barred Owl,Strix varia
Basenji Dog,Canis lupus familiaris
Basilisk Lizard,Basiliscus basiliscus
Basking Shark,Cetorhinus maximus
Basset Fauve de Bretagne,Canis lupus familiaris
